designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
WT22X115,WT,WT22X115,WT22X115,115.0,33.9,21.5,15.8,0.71,1.22
WT20X327.5,WT,WT20X327.5,WT20X327.5,327.5,96.4,21.8,16.9,1.97,3.54
WT20X296.5,WT,WT20X296.5,WT20X296.5,296.5,87.2,21.5,16.7,1.79,3.23
WT20X251.5,WT,WT20X251.5,WT20X251.5,251.5,74.0,21.0,16.4,1.54,2.76
WT20X215.5,WT,WT20X215.5,WT20X215.5,215.5,63.3,20.6,16.2,1.34,2.36
WT20X198.5,WT,WT20X198.5,WT20X198.5,198.5,58.3,20.5,16.1,1.22,2.2
WT20X186,WT,WT20X186,WT20X186,186.0,54.7,20.3,16.1,1.16,2.05
WT20X181,WT,WT20X181,WT20X181,181.0,53.2,20.3,16.0,1.12,2.01
WT20X162,WT,WT20X162,WT20X162,162.0,47.7,20.1,15.9,1.0,1.81
WT20X148.5,WT,WT20X148.5,WT20X148.5,148.5,43.6,19.9,15.8,0.93,1.65
WT20X138.5,WT,WT20X138.5,WT20X138.5,138.5,40.7,19.8,15.8,0.83,1.58
WT20X124.5,WT,WT20X124.5,WT20X124.5,124.5,36.7,19.7,15.8,0.75,1.42
WT20X107.5,WT,WT20X107.5,WT20X107.5,107.5,31.8,19.5,15.8,0.65,1.22
WT20X99.5,WT,WT20X99.5,WT20X99.5,99.5,29.2,19.3,15.8,0.65,1.07
WT20X196,WT,WT20X196,WT20X196,196.0,57.8,20.8,12.4,1.42,2.52
WT20X165.5,WT,WT20X165.5,WT20X165.5,165.5,48.8,20.4,12.2,1.22,2.13
WT20X163.5,WT,WT20X163.5,WT20X163.5,163.5,47.9,20.4,12.1,1.18,2.13
WT20X147,WT,WT20X147,WT20X147,147.0,43.1,20.2,12.0,1.06,1.93
WT20X139,WT,WT20X139,WT20X139,139.0,41.0,20.1,12.0,1.03,1.81
WT20X132,WT,WT20X132,WT20X132,132.0,38.7,20.0,11.9,0.96,1.73
WT20X117.5,WT,WT20X117.5,WT20X117.5,117.5,34.6,19.8,11.9,0.83,1.58
WT20X105.5,WT,WT20X105.5,WT20X105.5,105.5,31.1,19.7,11.8,0.75,1.42
WT20X91.5,WT,WT20X91.5,WT20X91.5,91.5,26.7,19.5,11.8,0.65,1.2
WT20X83.5,WT,WT20X83.5,WT20X83.5,83.5,24.5,19.3,11.8,0.65,1.03
WT20X74.5,WT,WT20X74.5,WT20X74.5,74.5,21.9,19.1,11.8,0.63,0.83
WT18X462.5,WT,WT18X462.5,WT18X462.5,462.5,136.0,21.6,18.6,3.02,4.53
WT18X426.5,WT,WT18X426.5,WT18X426.5,426.5,126.0,21.6,18.2,2.52,4.53
WT18X401,WT,WT18X401,WT18X401,401.0,118.0,21.3,18.0,2.38,4.29
WT18X361.5,WT,WT18X361.5,WT18X361.5,361.5,107.0,20.9,17.8,2.17,3.9
WT18X326,WT,WT18X326,WT18X326,326.0,96.2,20.5,17.6,1.97,3.54
WT18X264.5,WT,WT18X264.5,WT18X264.5,264.5,77.8,19.9,17.2,1.61,2.91
WT18X243.5,WT,WT18X243.5,WT18X243.5,243.5,71.7,19.7,17.1,1.5,2.68
WT18X220.5,WT,WT18X220.5,WT18X220.5,220.5,64.9,19.4,17.0,1.36,2.44
WT18X197.5,WT,WT18X197.5,WT18X197.5,197.5,58.1,19.2,16.8,1.22,2.2
WT18X180.5,WT,WT18X180.5,WT18X180.5,180.5,53.0,19.0,16.7,1.12,2.01
WT18X165,WT,WT18X165,WT18X165,165.0,48.4,18.8,16.6,1.02,1.85
